Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3
3.830418442234849e-08,0.9965170823638224,0.09166021925304559,0.09156227362252008,9.794563052561003e-07,9.593346539059311e-11,5.2255472609379044e-06,-0.0004050493731432319,0.0002623370164618423,0.0002848852094455887
3.8313432173295456e-08,0.9965885219141416,0.09166457465347315,0.0915395589238268,1.2501572964635553e-06,1.5628932659010656e-10,5.2106040629957205e-06,-0.00040457352273990966,0.00026372708935334195,0.00028380620458202135
3.832267992424243e-08,0.9966584338084788,0.09166878560598626,0.09151665188490164,1.521337210846998e-06,2.314466909107723e-10,5.195681697102419e-06,-0.0004040974470639958,0.00026511372147252894,0.00028271884501129255
3.833192767518939e-08,0.996726545621087,0.09167282917570739,0.09149355552904169,1.7927364666576662e-06,3.2139040388842136e-10,5.180769208395419e-06,-0.0004036211276844455,0.0002664969207467354,0.0002816231822829073
3.8341175426136365e-08,0.9967925928211308,0.09167668312402098,0.09147027320961891,2.0640991440219912e-06,4.260505276352317e-10,5.165855900762294e-06,-0.0004031445464303955,0.0002678766948587405,0.0002805192679266516
3.835042317708334e-08,0.9968563197928344,0.09168032599488758,0.09144680860443773,2.33517390449951e-06,5.453037164255487e-10,5.150931377154053e-06,-0.000402667685473038,0.0002692530511464944,0.00027940715336995976
3.83596709280303e-08,0.996917480817551,0.09168373719782322,0.09142316570881856,2.6057148900468933e-06,6.789750088212094e-10,5.135985578585718e-06,-0.00040219052740574806,0.00027062599650479234,0.00027828688985700415
3.8368918678977274e-08,0.996975841013996,0.09168689708722708,0.09139934882743771,2.8754825978945584e-06,8.268400170794438e-10,5.121008821667083e-06,-0.0004017130553221634,0.0002719955372892894,0.00027715852836982094
3.8378166429924246e-08,0.9970311772330782,0.09168978703775839,0.09137536256495882,3.1442447279958173e-06,9.886274909529492e-10,5.105991834514046e-06,-0.00040123525289192203,0.00027336167922319463,0.0002760221195517803
3.838741418087121e-08,0.9970832789039568,0.0916923895154768,0.0913512118154977,3.411776999791976e-06,1.1640222296309537e-09,5.090925790894275e-06,-0.0004007571044337617,0.0002747244273070325,0.0002748777136336677
3.839666193181818e-08,0.9971319488281423,0.09169468814448073,0.09132690175096206,3.677863935188056e-06,1.352668312575697e-09,5.075802342469487e-06,-0.000400278594985713,0.0002760837857317994,0.0002737253603626662
3.8405909682765155e-08,0.9971770039186889,0.09169666776879495,0.09130243780831813,3.942299604768614e-06,1.5541726173758772e-09,5.060613649003421e-06,-0.0003997997103721167,0.00027743975779583236,0.0002725651089345029
3.841515743371212e-08,0.9972182758817224,0.09169831450927846,0.09127782567583485,4.204888334436794e-06,1.7681085905082637e-09,5.045352406412619e-06,-0.0003993204372672191,0.0002787923458257259,0.00027139700792900396
3.842440518465909e-08,0.9972556118378157,0.09169961581534462,0.09125307127836274,4.465445369819956e-06,1.9940202350846483e-09,5.030011872545887e-06,-0.0003988407632550992,0.00028014155110158594,0.0002702211052492936
3.8433652935606064e-08,0.997288874880945,0.09170056051130476,0.09122818076170804,4.723797495968313e-06,2.2314262782916503e-09,5.014585890588607e-06,-0.00039836067688572304,0.0002814873737868743,0.0002690374480648741
3.844290068655303e-08,0.9973179445729979,0.09170113883716957,0.09120316047616576,4.979783610038975e-06,2.4798244802812806e-09,4.999068909996662e-06,-0.0003978801677268956,0.00028282981286315397,0.0002678460827587706
3.84521484375e-08,0.997342717372116,0.09170134248376441,0.09117801695927752,5.23325524486937e-06,2.7386960457952772e-09,4.983456004877253e-06,-0.0003973992264119402,0.0002841688660699288,0.00026664705487894206
3.8461396188446974e-08,0.9973631069933467,0.09170116462203674,0.09115275691788445,5.4840770415244275e-06,3.0075100997375316e-09,4.967742889743855e-06,-0.0003969178446829254,0.00028550452984981426,0.00026544040909413664
3.847064393939394e-08,0.9973790447004091,0.0917005999264586,0.09112738720954662,5.732127169120533e-06,3.2857281882969774e-09,4.951925932584755e-06,-0.00039643601542928297,0.00028683679929924366,0.0002642261891543301
3.847989169034091e-08,0.9973904795276203,0.09169964459244759,0.09110191482340431,5.977297690434014e-06,3.5728087680067796e-09,4.9360021651965125e-06,-0.00039595373272168253,0.00028816566812488295,0.00026300443785589315
3.848913944128788e-08,0.9973973784313109,0.09169829634775634,0.09107634686055513,6.219494872013666e-06,3.86821164630043e-09,4.919969290746378e-06,-0.00039547099184104797,0.0002894911286058918,0.00026177519701160793
3.849838719223485e-08,0.9973997263703385,0.09169655445780357,0.09105069051402785,6.45863943775819e-06,4.171402338696543e-09,4.903825688540223e-06,-0.0003949877893026128,0.00029081317156218444,0.0002605385074256208
3.850763494318182e-08,0.9973975263155925,0.0916944197249411,0.09102495304842964,6.694666765115327e-06,4.481856309593971e-09,4.887570415985182e-06,-0.0003945041228749386,0.00029213178632878664,0.0002592944088734159
3.851688269412879e-08,0.9973907991886445,0.09169189448167966,0.09099914177934847,6.9275270233134035e-06,4.799063065873746e-09,4.871203207749913e-06,-0.00039401999159383944,0.00029344696073635754,0.0002580429400868756
3.852613044507576e-08,0.9973795837299984,0.09168898257791483,0.09097326405259057,7.157185253243222e-06,5.122530074924224e-09,4.854724472137184e-06,-0.00039353539577116826,0.0002947586810979604,0.00025678413874445036
3.853537819602273e-08,0.9973639362976505,0.09168568936222155,0.09094732722333593,7.383621388857087e-06,5.451786481398786e-09,4.838135284697664e-06,-0.0003930503369984522,0.00029606693220209546,0.00025551804146646594
3.85446259469697e-08,0.9973439305969419,0.0916820216573073,0.0909213386352915,7.6068302201589615e-06,5.786386599832364e-09,4.821437379125537e-06,-0.000392564818145375,0.0002973716973120133,0.00025424468381557354
3.8553873697916666e-08,0.9973196573429718,0.09167798772973594,0.09089530559992436,7.826821298116687e-06,6.125913163265297e-09,4.804633135489774e-06,-0.0003920788433531278,0.00029867295817128807,0.00025296410030230417
